portfolio_id,date,ticker,shares,price,value
batisseur,2026-05-05,CASH,1000000.0,1.0,1000000.0
batisseur,2026-05-06,AMZN,219.33832937,274.99,60315.85
batisseur,2026-05-06,BABA,302.43459852,141.44,42776.35
batisseur,2026-05-06,BSX,714.54090747,56.0,40014.29
batisseur,2026-05-06,CASH,55000.0,1.0,55000.0
batisseur,2026-05-06,CRCL,175.14668535,121.8,21332.87
batisseur,2026-05-06,CSU.TO,38.63784004,1764.5458,68178.24
batisseur,2026-05-06,DPZ,60.28999488,324.66,19573.75
batisseur,2026-05-06,EL.PA,144.83315413,207.0177,29983.03
batisseur,2026-05-06,FICO,28.13546288,1067.0,30020.54
batisseur,2026-05-06,IBE.MC,865.44999242,23.1504,20035.49
batisseur,2026-05-06,ISRG,66.46284727,451.73,30023.26
batisseur,2026-05-06,JPM,145.4427925,314.9,45799.93
batisseur,2026-05-06,LLY,50.56276356,987.05,49907.98
batisseur,2026-05-06,MELI,27.51319106,1841.14,50655.64
batisseur,2026-05-06,META,99.18011108,612.88,60785.51
batisseur,2026-05-06,MSFT,97.2337012,413.96,40250.86
batisseur,2026-05-06,NVDA,407.12468193,207.83,84612.72
batisseur,2026-05-06,NVO,668.5981725,45.76,30595.05
batisseur,2026-05-06,RACE,61.45526057,336.25,20664.33
batisseur,2026-05-06,RMS.PA,10.23441313,1958.2917,20041.97
batisseur,2026-05-06,STZ,133.51134846,152.29,20332.44
batisseur,2026-05-06,ULTA,56.33485437,535.1,30144.78
batisseur,2026-05-06,V,124.21202994,318.1404,39516.87
batisseur,2026-05-06,VICI,707.46374248,28.65,20268.84
batisseur,2026-05-06,VRSK,166.25103907,170.94,28418.95
batisseur,2026-05-06,WM,133.63624215,220.52,29469.46
batisseur,2026-05-06,ZM,183.31805683,105.13,19272.23
batisseur,2026-05-07,AMZN,219.33832937,271.17,59477.98
batisseur,2026-05-07,BABA,302.43459852,141.0,42643.28
batisseur,2026-05-07,BSX,714.54090747,56.57,40421.58
batisseur,2026-05-07,CASH,55000.0,1.0,55000.0
batisseur,2026-05-07,CRCL,175.14668535,113.25,19835.36
batisseur,2026-05-07,CSU.TO,38.63784004,1881.4614,72695.61
batisseur,2026-05-07,DPZ,60.28999488,332.53,20048.23
batisseur,2026-05-07,EL.PA,144.83315413,207.1072,29995.99
batisseur,2026-05-07,FICO,28.13546288,1128.39,31747.78
batisseur,2026-05-07,IBE.MC,865.44999242,23.0543,19952.38
batisseur,2026-05-07,ISRG,66.46284727,453.49,30140.24
batisseur,2026-05-07,JPM,145.4427925,306.27,44544.76
batisseur,2026-05-07,LLY,50.56276356,974.96,49296.67
batisseur,2026-05-07,MELI,27.51319106,1870.01,51449.94
batisseur,2026-05-07,META,99.18011108,616.81,61175.28
batisseur,2026-05-07,MSFT,97.2337012,420.77,40913.02
batisseur,2026-05-07,NVDA,407.12468193,211.5,86106.87
batisseur,2026-05-07,NVO,668.5981725,45.8,30621.8
batisseur,2026-05-07,RACE,61.45526057,337.46,20738.69
batisseur,2026-05-07,RMS.PA,10.23441313,1999.4127,20462.81
batisseur,2026-05-07,STZ,133.51134846,150.25,20060.08
batisseur,2026-05-07,ULTA,56.33485437,526.53,29661.99
batisseur,2026-05-07,V,124.21202994,320.6153,39824.28
batisseur,2026-05-07,VICI,707.46374248,28.79,20367.88
batisseur,2026-05-07,VRSK,166.25103907,174.69,29042.39
batisseur,2026-05-07,WM,133.63624215,221.45,29593.75
