ticker,weight,units,entry_price,snapshot_type
AMZN,6.0,0.02193383,273.55,initial
BABA,4.0,0.03024346,132.26,initial
BSX,4.0,0.07145409,55.98,initial
CRCL,2.0,0.01751467,114.19,initial
CSU.TO,7.0,0.00284029,2464.54,initial
DPZ,2.0,0.006029,331.73,initial
EL.PA,3.0,0.01696833,176.8,initial
FICO,3.0,0.00281355,1066.27,initial
IBE.MC,2.0,0.10139417,19.725,initial
ISRG,3.0,0.00664628,451.38,initial
JPM,4.5,0.01454428,309.4,initial
LLY,5.0,0.00505628,988.87,initial
MELI,5.0,0.00275132,1817.3101,initial
META,6.0,0.00991801,604.96,initial
MSFT,4.0,0.00972337,411.38,initial
NVDA,8.0,0.04071247,196.5,initial
NVO,3.0,0.06685982,44.87,initial
RACE,2.0,0.00614553,325.44,initial
RMS.PA,2.0,0.00119904,1668.0,initial
STZ,2.0,0.01335113,149.8,initial
ULTA,3.0,0.00563349,532.53,initial
V,4.0,0.0124212,322.03,initial
VICI,2.0,0.07074637,28.27,initial
VRSK,3.0,0.0166251,180.45,initial
WM,3.0,0.01336362,224.49,initial
ZM,2.0,0.01833181,109.1,initial
