ticker,weight,units,entry_price,snapshot_type
AMD,2.009,0.01303745,245.03,move
AVGO,5.0571,0.01415643,357.23,move
BMNR,2.0,0.09532888,20.98,move
CELH,13.52434356477776,0.41152973,32.863588,move
CRSP,2.0,0.0391466,51.09,move
DUOL,2.0,0.02218771,90.14,move
HIMS,9.270738717938727,0.46657034,19.86997,move
LFMD,1.0,0.29154519,3.43,move
META,10.0,0.01588562,629.5,move
MTPLF,7.9935,4.15813378,1.922377,move
NBIS,5.0,0.03503854,142.7,move
NIO,1.178074,0.22312008,5.28,move
NU,4.712296,0.36671564,12.85,move
NVDA,12.0,0.06450572,186.03,move
SMCI,1.178074,0.03258849,36.15,move
SMR,1.0,0.11037528,9.06,move
SOFI,4.712296,0.29232605,16.12,move
TSLA,9.1018,0.03427886,350.07,move
XPEV,1.0,0.05787037,17.28,move
ZETA,7.0138,0.30735621,22.819776,move
